Estimator,boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn
4230,0.014593341825211633,0.03617507814770278,0.023349990937258504,0.046876565528255976,0.03951580878597304,0.03951580878597304,0.03562390973072122,0.03562390973072122
4231,0.004851481473923584,0.036176753110700025,0.001524329182542226,0.00029805036099369095,0.0001083011126038656,0.0001083011126038656,0.0,0.0
4232,0.004873122819294683,0.02647398041533627,0.0022260712594234246,0.001432669827427296,0.0031945464047507463,0.0031945464047507463,0.0,0.0
4233,0.006465541662623988,0.18341550472742665,0.004850084522195385,0.015143043558417616,0.017013709499175255,0.017013709499175255,0.0,0.0
4234,0.004851481473923584,0.036176753110700025,0.0015284468095710865,0.000704619420338777,0.000704619420338777,0.000704619420338777,0.0,0.0
4235,0.01003242529077281,0.01064166100356224,0.001329410386469857,0.00034348504490490475,0.0001554144681059753,0.0001554144681059753,0.0,0.0
4236,0.45067583603210926,0.04767099614616679,0.02619098957508047,0.054017134060203975,0.05456511844750003,0.05456511844750003,0.11103131238874395,0.014355292977070054
4237,0.0,0.42849082596152127,0.01909695863049203,0.0007045197570204304,0.0007045197570204304,0.0007045197570204304,0.0,0.0
4238,0.0,0.03617507814770278,0.006429688876958289,0.008749688237775414,0.009691619669794357,0.009691619669794357,0.0,0.01197264166607594
4239,0.005811206206288719,0.0061487506038143775,0.004864686422222288,0.002110833123410529,0.002110833123410529,0.002110833123410529,0.0,0.0
4240,0.0,0.03617507814770278,0.0022224421620449684,0.0007045197570204304,0.0007045197570204304,0.0007045197570204304,0.0,0.0
4241,0.007731636841243449,0.01797104109132729,0.00641433188455095,0.004877631017328819,0.004877631017328819,0.004877631017328819,0.0,0.0
4242,0.01737377157695716,0.04997920270779139,0.02761683330828775,0.008894567270743675,0.008894567270743675,0.008894567270743675,0.0544477840223765,0.0
4243,0.007478055908894649,0.024766406620897706,0.0020348391593314782,0.0017803454184200298,0.0031218154822006306,0.0031218154822006306,0.011315313227834127,0.0
4244,0.011984664174843822,0.03045807702148059,0.0005640728646827518,0.00044599285144858165,7.134606329770848e-05,7.134606329770848e-05,0.0,0.0
4245,0.007669118909966261,0.2230392916986246,0.0016655996704660933,0.008871688713602222,0.008871688713602222,0.008871688713602222,0.0,0.0
4246,0.0,0.03617507814770278,0.0022224421620449684,0.0007045197570204304,0.00023036869978592092,0.00023036869978592092,0.0,0.0
4247,0.014355292977070054,0.0047487842554576176,0.0058253776612114515,0.003157741720295561,0.003157741720295561,0.003157741720295561,0.0,0.0
4248,0.004764116509774755,0.027611389679336986,0.00013316570391323857,0.0004857151002461541,0.0004857151002461541,0.0004857151002461541,0.0,0.0
4249,0.0033389631539520737,0.023636177332655328,0.0005488234655184055,0.0018848274129050083,0.0004962316758634885,0.0004962316758634885,0.0,0.0
4250,0.007731636841243449,0.01797104109132729,0.009791945166142768,1.783480582957398e-05,0.0009625533945434587,0.0009625533945434587,0.0,0.0
