T (BPM),boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,boeck2020/dar,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,sun2021/default
118.0,0.7272727272727273,0.7272727272727273,0.5454545454545454,0.8181818181818182,0.45454545454545453,0.45454545454545453,0.6363636363636364,0.36363636363636365,0.2727272727272727,0.6363636363636364,0.7272727272727273,0.45454545454545453,0.45454545454545453
119.0,0.75,0.75,0.5833333333333334,0.8333333333333334,0.5,0.5,0.6666666666666666,0.3333333333333333,0.25,0.6666666666666666,0.75,0.5,0.5
120.0,0.7272727272727273,0.6363636363636364,0.45454545454545453,0.7272727272727273,0.5454545454545454,0.45454545454545453,0.6363636363636364,0.36363636363636365,0.2727272727272727,0.8181818181818182,0.9090909090909091,0.5454545454545454,0.5454545454545454
121.0,0.7272727272727273,0.6363636363636364,0.45454545454545453,0.7272727272727273,0.5454545454545454,0.45454545454545453,0.6363636363636364,0.36363636363636365,0.2727272727272727,0.8181818181818182,0.9090909090909091,0.5454545454545454,0.5454545454545454
122.0,0.75,0.6666666666666666,0.5,0.75,0.5833333333333334,0.5,0.6666666666666666,0.4166666666666667,0.3333333333333333,0.8333333333333334,0.9166666666666666,0.5833333333333334,0.5833333333333334
123.0,0.7272727272727273,0.6363636363636364,0.5454545454545454,0.7272727272727273,0.6363636363636364,0.5454545454545454,0.6363636363636364,0.36363636363636365,0.2727272727272727,0.8181818181818182,0.9090909090909091,0.6363636363636364,0.6363636363636364
124.0,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.7777777777777778,0.8888888888888888,0.6666666666666666,0.6666666666666666
125.0,0.6,0.6,0.5,0.6,0.6,0.6,0.5,0.3,0.3,0.8,0.8,0.7,0.6
126.0,0.5,0.5,0.5,0.5,0.5,0.5,0.375,0.25,0.25,0.75,0.75,0.625,0.625
127.0,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.5714285714285714
128.0,0.5,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.5
129.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.8571428571428571,0.5714285714285714,0.7142857142857143,0.5714285714285714
130.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.8571428571428571,0.5714285714285714,0.7142857142857143,0.5714285714285714
131.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.5,0.6666666666666666,0.5
132.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.5,0.6666666666666666,0.5
