Item,davies2009/mirex_qm_tempotracker,schreiber2018/fcn,schreiber2018/ismir2018,schreiber2018/cnn,percival2014/stem,schreiber2017/mirex2017,schreiber2017/ismir2017,boeck2015/tempodetector2016_default,schreiber2014/default
"ChrisPotter_Item1,D.I.T._Solo.jams",0.016254484668996448,0.006741201996454532,0.006741201996454532,0.006741201996454532,0.005689849109502306,0.012110729970681125,0.012110729970681125,0.0028448468327436243,0.44868196616772904
ChrisPotter_PopTune#1_Solo.jams,0.09752580275176642,0.12343394124827467,0.12343394124827467,0.1101371186348168,0.12036480204883822,0.11929853760102917,0.11929853760102917,0.10894639406192745,0.08504601672476401
ChrisPotter_Rumples_Solo.jams,0.01475274458096891,0.004116108472231951,0.00661029812082654,0.004116108472231951,0.0005852032833771226,0.005150577274365132,0.005150577274365132,0.0185772057866227,0.006847716354105836
ChrisPotter_Togo_Solo.jams,0.005154789048405347,0.0006919205598689275,0.0006919205598689275,0.0006919205598689275,0.0026610863184311174,0.01801077495108926,0.01801077495108926,0.010818145300504537,0.022132714226764202
ChuBerry_BodyAndSoul-1_Solo.jams,0.0011457936750204633,0.019398377587952514,0.03306904230618307,0.03306904230618307,0.00686060338709576,0.008179039350326819,0.008179039350326819,0.0016425872994587384,0.045871545468806445
ChuBerry_BodyAndSoul-2_Solo.jams,0.020134431186035286,0.0052708363463914295,0.0052708363463914295,0.020700876915997368,0.007078501689252466,0.001165886445552776,0.001165886445552776,0.00547293548166381,6.130889969252121e-05
CliffordBrown_ANightInTunisia_Solo.jams,0.014420514121376935,0.01917877790095666,0.011484386110955862,0.011484386110955862,0.005479022379251889,0.0030756191892742854,0.0030756191892742854,0.015326452405349973,0.0071159254621130895
CliffordBrown_Daahoud_Solo.jams,0.02756193264073903,0.003359496159112147,0.003359496159112147,0.003359496159112147,0.002023490601773308,0.011400281530352118,0.011400281530352118,0.008613145506963757,0.009529008994612632
CliffordBrown_George'sDilemma_Solo.jams,0.017357564359450715,0.011771476030914335,0.011771476030914335,0.006844202136432783,0.006468159489218004,0.00865707447598022,0.00865707447598022,0.010291029476283284,0.013763978008759092
CliffordBrown_I'llRememberApril_AlternateTake2_Solo.jams,0.015153684554303125,0.0011179279011389424,0.0011179279011389424,0.01851087884779353,0.4152564932657678,0.019036392020967324,0.019036392020967324,0.0022378669614593802,0.008895117184499134
CliffordBrown_I'llRememberApril_Solo.jams,0.012511290810148344,0.006922857532871393,0.006922857532871393,0.016976522196794255,0.4075296113429198,0.017694084500810045,0.017694084500810045,0.005509736971247619,0.003384959446803407
CliffordBrown_Jordu_Solo.jams,0.008108554293240025,0.011461561171540098,0.009296998995257322,0.04100585872259551,0.003241619667374702,0.007908778714466299,0.007908778714466299,0.00661007969761643,0.014816457500661727
CliffordBrown_JoySpring_Solo.jams,0.0034518193995433676,0.0010127240558794092,0.0010127240558794092,0.0010127240558794092,0.0021727228153102336,0.009639255974267453,0.009639255974267453,0.009344581521677768,0.00027849246642323665
CliffordBrown_Sandu_Solo.jams,0.004315058806103488,0.002671812747080478,0.013088428692418802,0.013088428692418802,0.0005498100297865764,0.0033024657193580984,0.0033024657193580984,0.002922043058935224,0.00980826912916382
CliffordBrown_Stompin'AtTheSavoy_Solo.jams,0.028618317006126725,0.004985601266478616,0.013755810894210904,0.013755810894210904,0.005534424731997108,0.005182990669277168,0.005182990669277168,0.011292219659430676,0.0017110166419149187
ColemanHawkins_BodyAndSoul_Solo.jams,0.011239822574819288,0.01570857138600531,0.01570857138600531,0.01570857138600531,0.004576518014298346,0.006918980911558574,0.006918980911558574,0.004241786160458421,0.02016047305694647
ColemanHawkins_It'sOnlyAPapermoon_Solo.jams,0.023916576309235837,0.013279940200498792,0.013279940200498792,0.013279940200498792,0.0003878663893258915,0.0002335582310719538,0.0002335582310719538,0.004678035623635277,0.0035893181950882045
ColemanHawkins_MyBlueHeaven_Solo.jams,0.0045263914897464026,0.023084998189590412,0.023084998189590412,0.031362785832786025,8.629343708943558e-05,0.00746556615214026,0.00746556615214026,0.013404810008651694,0.020398982542753748
ColemanHawkins_Perdido_Solo.jams,0.007535912651768374,0.0022606386726434667,0.01394958850861557,0.01394958850861557,0.001329402216193321,0.001342333643776739,0.001342333643776739,0.006587053614221753,0.0044272328564776715
ColemanHawkins_SophisticatedLady_Solo.jams,0.012098831813958764,0.001462195705221807,0.001462195705221807,0.001462195705221807,0.007361959661827769,0.002337592522036012,0.002337592522036012,0.0002486791361233428,0.06254455540563938
ColemanHawkins_Stompin'AtTheSavoy_Solo.jams,0.010118480778956487,0.01351462578612436,0.0019266515109125548,0.0019266515109125548,0.018938911439834817,0.0038836956927884364,0.0038836956927884364,0.0019266515109125548,0.01152686098130512
CurtisFuller_BlueTrain_Solo.jams,0.011370419472856785,0.01624097020648,0.01624097020648,0.01624097020648,0.0024351706814494715,0.011047637519369302,0.011047637519369302,0.011476853696705414,0.011483711574887461
CurtisFuller_DownUnder_Solo.jams,0.0016739419489670536,0.008097768448061933,0.008097768448061933,0.008097768448061933,0.0068146350680313005,0.002794562498192801,0.002794562498192801,0.0030473188047869617,0.006268766603664937
DavidLiebman_BeginTheBeguine_Solo.jams,9.445226791759442e-05,0.05103759037507355,0.026375536140804436,0.05103759037507355,0.024848066394210718,0.0047307941880459815,0.0047307941880459815,0.03066107516571046,0.05892285778523435
DavidLiebman_Day&Nite_Solo.jams,0.004690111387865711,0.019512325093760927,0.019512325093760927,0.019512325093760927,0.003870855263457183,0.022264176203693926,0.022264176203693926,0.0023265986917397332,0.0021518835266143943
DavidLiebman_I'veGotYouUnderMySkin_Solo.jams,0.009983588348221143,0.0034675050448422476,0.0034675050448422476,0.018900307983612363,0.007937761326313717,0.007198536183870699,0.007198536183870699,0.007304762363781706,0.039640264564631156
DavidLiebman_Milestones_Solo.jams,0.053717999094641956,0.0921826554633131,0.01623380223001448,0.007015272200635852,0.010649556363876827,0.003132087384095573,0.003132087384095573,0.0011399693469424002,0.07979585832692795
DavidLiebman_Nica'sDream_Solo.jams,0.02924672721248828,0.007881088312848094,0.0016416858056585559,0.0016416858056585559,0.002578944246883232,0.003352467918138877,0.003352467918138877,0.006931634483983639,0.01554129479332231
DavidLiebman_NoGreaterLove_Solo.jams,0.07158645920119928,0.008769463317685453,0.008769463317685453,0.03225780494236924,0.004115465538880394,0.0223361788935885,0.0223361788935885,0.008604308259271666,0.021784155020193843
DavidLiebman_Pablo'sStory_Solo.jams,0.03168891532263499,0.014535919234435002,0.00448225457051197,0.00448225457051197,0.003933333398606664,0.010095626678138176,0.010095626678138176,0.01877309772979118,0.04949190482287847
DavidLiebman_Pendulum_Solo.jams,0.02854342856452502,0.0338466613579232,0.0338466613579232,0.0009320388851881021,0.0010652045891013323,0.023460359454430334,0.023460359454430334,0.005696155394962501,0.08474760667344841
DavidLiebman_SecretLove_Solo.jams,0.03333172836424442,0.026342791021085426,0.01578268465159118,0.01578268465159118,0.4296429977129064,0.03231706948752406,0.03231706948752406,0.0013215873372003173,0.03697224367155322
